n,abscissas,weights
1,-0.999713727,7.35E-04
2,-0.998491951,0.001709393
3,-0.996295135,0.002683925
4,-0.993124937,0.003655961
5,-0.988984395,0.00462445
6,-0.983877541,0.005588428
7,-0.977809358,0.006546948
8,-0.970785776,0.007499073
9,-0.962813654,0.008443871
10,-0.953900783,0.00938042
11,-0.94405587,0.010307803
12,-0.933288535,0.011225114
13,-0.921609298,0.012131458
14,-0.909029571,0.013025948
15,-0.895561645,0.013907711
16,-0.881218679,0.014775885
17,-0.866014688,0.015629621
18,-0.849964528,0.016468086
19,-0.83308388,0.017290461
20,-0.815389238,0.018095941
21,-0.796897892,0.01888374
22,-0.77762791,0.019653087
23,-0.757598119,0.020403233
24,-0.73682809,0.021133442
25,-0.715338118,0.021843002
26,-0.693149199,0.02253122
27,-0.670283016,0.023197423
28,-0.646761909,0.02384096
29,-0.62260886,0.024461203
30,-0.59784747,0.025057544
31,-0.572501933,0.025629403
32,-0.546597012,0.026176219
33,-0.52015802,0.026697459
34,-0.493210789,0.027192613
35,-0.46578165,0.027661198
36,-0.437897402,0.028102756
37,-0.409585292,0.028516854
38,-0.380872982,0.02890309
39,-0.351788526,0.029261084
40,-0.322360344,0.029590488
41,-0.292617188,0.02989098
42,-0.26258812,0.030162265
43,-0.232302482,0.03040408
44,-0.201789864,0.030616187
45,-0.171080081,0.030798379
46,-0.140203137,0.030950479
47,-0.109189204,0.031072337
48,-0.078068583,0.031163836
49,-0.046871682,0.031224884
50,-0.015628984,0.031255423
51,0.015628984,0.031255423
52,0.046871682,0.031224884
53,0.078068583,0.031163836
54,0.109189204,0.031072337
55,0.140203137,0.030950479
56,0.171080081,0.030798379
57,0.201789864,0.030616187
58,0.232302482,0.03040408
59,0.26258812,0.030162265
60,0.292617188,0.02989098
61,0.322360344,0.029590488
62,0.351788526,0.029261084
63,0.380872982,0.02890309
64,0.409585292,0.028516854
65,0.437897402,0.028102756
66,0.46578165,0.027661198
67,0.493210789,0.027192613
68,0.52015802,0.026697459
69,0.546597012,0.026176219
70,0.572501933,0.025629403
71,0.59784747,0.025057544
72,0.62260886,0.024461203
73,0.646761909,0.02384096
74,0.670283016,0.023197423
75,0.693149199,0.02253122
76,0.715338118,0.021843002
77,0.73682809,0.021133442
78,0.757598119,0.020403233
79,0.77762791,0.019653087
80,0.796897892,0.01888374
81,0.815389238,0.018095941
82,0.83308388,0.017290461
83,0.849964528,0.016468086
84,0.866014688,0.015629621
85,0.881218679,0.014775885
86,0.895561645,0.013907711
87,0.909029571,0.013025948
88,0.921609298,0.012131458
89,0.933288535,0.011225114
90,0.94405587,0.010307803
91,0.953900783,0.00938042
92,0.962813654,0.008443871
93,0.970785776,0.007499073
94,0.977809358,0.006546948
95,0.983877541,0.005588428
96,0.988984395,0.00462445
97,0.993124937,0.003655961
98,0.996295135,0.002683925
99,0.998491951,0.001709393
100,0.999713727,7.35E-04
